Date,Open,High,Low,Close
2/23/2022,"4,324.93","4,341.51","4,221.51","4,225.50"
2/22/2022,"4,332.74","4,362.12","4,267.11","4,304.76"
2/18/2022,"4,384.57","4,394.60","4,327.22","4,348.87"
2/17/2022,"4,456.06","4,456.06","4,373.81","4,380.26"
2/16/2022,"4,455.75","4,489.55","4,429.68","4,475.01"
2/15/2022,"4,429.28","4,472.77","4,429.28","4,471.07"
2/14/2022,"4,412.61","4,426.22","4,364.84","4,401.67"
2/11/2022,"4,506.27","4,526.33","4,401.41","4,418.64"
2/10/2022,"4,553.24","4,588.92","4,484.31","4,504.08"
2/9/2022,"4,547.00","4,590.03","4,547.00","4,587.18"
2/8/2022,"4,480.02","4,531.32","4,465.40","4,521.54"
2/7/2022,"4,505.75","4,521.86","4,471.47","4,483.87"
2/4/2022,"4,482.79","4,539.66","4,451.50","4,500.53"
2/3/2022,"4,535.41","4,542.88","4,470.39","4,477.44"
2/2/2022,"4,566.39","4,595.31","4,544.32","4,589.38"
2/1/2022,"4,519.57","4,550.49","4,483.53","4,546.54"
1/31/2022,"4,431.79","4,516.89","4,414.02","4,515.55"
1/28/2022,"4,336.19","4,432.72","4,292.46","4,431.85"
1/27/2022,"4,380.58","4,428.74","4,309.50","4,326.51"
1/26/2022,"4,408.43","4,453.23","4,304.80","4,349.93"
1/25/2022,"4,366.64","4,411.01","4,287.11","4,356.45"
1/24/2022,"4,356.32","4,417.35","4,222.62","4,410.13"
1/21/2022,"4,471.38","4,494.52","4,395.34","4,397.94"
1/20/2022,"4,547.35","4,602.11","4,477.95","4,482.73"
1/19/2022,"4,588.03","4,611.55","4,530.20","4,532.76"
1/18/2022,"4,632.24","4,632.24","4,568.70","4,577.11"
1/14/2022,"4,637.99","4,665.13","4,614.75","4,662.85"
1/13/2022,"4,733.56","4,744.13","4,650.29","4,659.03"
1/12/2022,"4,728.59","4,748.83","4,706.71","4,726.35"
1/11/2022,"4,669.14","4,714.13","4,638.27","4,713.07"
1/10/2022,"4,655.34","4,673.02","4,582.24","4,670.29"
1/7/2022,"4,697.66","4,707.95","4,662.74","4,677.03"
1/6/2022,"4,693.39","4,725.01","4,671.26","4,696.05"
1/5/2022,"4,787.99","4,797.70","4,699.44","4,700.58"
1/4/2022,"4,804.51","4,818.62","4,774.27","4,793.54"
1/3/2022,"4,778.14","4,796.64","4,758.17","4,796.56"
12/31/2021,"4,775.21","4,786.83","4,765.75","4,766.18"
12/30/2021,"4,794.23","4,808.93","4,775.33","4,778.73"
12/29/2021,"4,788.64","4,804.06","4,778.08","4,793.06"
12/28/2021,"4,795.49","4,807.02","4,780.04","4,786.35"
12/27/2021,"4,733.99","4,791.49","4,733.99","4,791.19"
12/23/2021,"4,703.96","4,740.74","4,703.96","4,725.79"
12/22/2021,"4,650.36","4,697.67","4,645.53","4,696.56"
12/21/2021,"4,594.96","4,651.14","4,583.16","4,649.23"
12/20/2021,"4,587.90","4,587.90","4,531.10","4,568.02"
12/17/2021,"4,652.50","4,666.70","4,600.22","4,620.64"
12/16/2021,"4,719.13","4,731.99","4,651.89","4,668.67"
12/15/2021,"4,636.46","4,712.60","4,611.22","4,709.85"
12/14/2021,"4,642.99","4,660.47","4,606.52","4,634.09"
12/13/2021,"4,710.30","4,710.30","4,667.60","4,668.97"
12/10/2021,"4,687.64","4,713.57","4,670.24","4,712.02"
12/9/2021,"4,691.00","4,695.26","4,665.98","4,667.45"
12/8/2021,"4,690.86","4,705.06","4,674.52","4,701.21"
12/7/2021,"4,631.97","4,694.04","4,631.97","4,686.75"
12/6/2021,"4,548.37","4,612.60","4,540.51","4,591.67"
12/3/2021,"4,589.49","4,608.03","4,495.12","4,538.43"
12/2/2021,"4,504.73","4,595.46","4,504.73","4,577.10"
12/1/2021,"4,602.82","4,652.94","4,510.27","4,513.04"
11/30/2021,"4,640.25","4,646.02","4,560.00","4,567.00"
11/29/2021,"4,628.75","4,672.95","4,625.26","4,655.27"
11/26/2021,"4,664.63","4,664.63","4,585.43","4,594.62"
11/24/2021,"4,675.78","4,702.87","4,659.89","4,701.46"
11/23/2021,"4,678.48","4,699.39","4,652.66","4,690.70"
11/22/2021,"4,712.00","4,743.83","4,682.17","4,682.94"
11/19/2021,"4,708.44","4,717.75","4,694.22","4,697.96"
11/18/2021,"4,700.72","4,708.80","4,672.78","4,704.54"
11/17/2021,"4,701.50","4,701.50","4,684.41","4,688.67"
11/16/2021,"4,679.42","4,714.95","4,679.42","4,700.90"
11/15/2021,"4,689.30","4,697.42","4,672.86","4,682.80"
11/12/2021,"4,655.24","4,688.47","4,650.77","4,682.85"
11/11/2021,"4,659.39","4,664.55","4,648.31","4,649.27"
11/10/2021,"4,670.26","4,684.85","4,630.86","4,646.71"
11/9/2021,"4,707.25","4,708.53","4,670.87","4,685.25"
11/8/2021,"4,701.48","4,714.92","4,694.39","4,701.70"
11/5/2021,"4,699.26","4,718.50","4,681.32","4,697.53"
11/4/2021,"4,662.93","4,683.00","4,662.59","4,680.06"
11/3/2021,"4,630.65","4,663.46","4,621.19","4,660.57"
11/2/2021,"4,613.34","4,635.15","4,613.34","4,630.65"
11/1/2021,"4,610.62","4,620.34","4,595.06","4,613.67"
10/29/2021,"4,572.87","4,608.08","4,567.59","4,605.38"
10/28/2021,"4,562.84","4,597.55","4,562.84","4,596.42"
10/27/2021,"4,580.22","4,584.57","4,551.66","4,551.68"
10/26/2021,"4,578.69","4,598.53","4,569.17","4,574.79"
10/25/2021,"4,553.69","4,572.62","4,537.36","4,566.48"
10/22/2021,"4,546.12","4,559.67","4,524.00","4,544.90"
10/21/2021,"4,532.24","4,551.44","4,526.89","4,549.78"
10/20/2021,"4,524.42","4,540.87","4,524.40","4,536.19"
10/19/2021,"4,497.34","4,520.40","4,496.41","4,519.63"
10/18/2021,"4,463.72","4,488.75","4,447.47","4,486.46"
10/15/2021,"4,447.69","4,475.82","4,447.69","4,471.37"
10/14/2021,"4,386.75","4,439.73","4,386.75","4,438.26"
10/13/2021,"4,358.01","4,372.87","4,329.92","4,363.80"
10/12/2021,"4,368.31","4,374.89","4,342.09","4,350.65"
10/11/2021,"4,385.44","4,415.88","4,360.59","4,361.19"
10/8/2021,"4,406.51","4,412.02","4,386.22","4,391.34"
10/7/2021,"4,383.73","4,429.97","4,383.73","4,399.76"
10/6/2021,"4,319.57","4,365.57","4,290.49","4,363.55"
10/5/2021,"4,309.87","4,369.23","4,309.87","4,345.72"
10/4/2021,"4,348.84","4,355.51","4,278.94","4,300.46"
10/1/2021,"4,317.16","4,375.19","4,288.52","4,357.04"
9/30/2021,"4,370.67","4,382.55","4,306.24","4,307.54"
9/29/2021,"4,362.41","4,385.57","4,355.08","4,359.46"
9/28/2021,"4,419.54","4,419.54","4,346.33","4,352.63"
9/27/2021,"4,442.12","4,457.30","4,436.19","4,443.11"
9/24/2021,"4,438.04","4,463.12","4,430.27","4,455.48"
9/23/2021,"4,406.75","4,465.40","4,406.75","4,448.98"
9/22/2021,"4,367.43","4,416.75","4,367.43","4,395.64"
9/21/2021,"4,374.45","4,394.87","4,347.96","4,354.19"
9/20/2021,"4,402.95","4,402.95","4,305.91","4,357.73"
9/17/2021,"4,469.74","4,471.52","4,427.76","4,432.99"
9/16/2021,"4,477.09","4,485.87","4,443.80","4,473.75"
9/15/2021,"4,447.49","4,486.87","4,438.37","4,480.70"
9/14/2021,"4,479.33","4,485.68","4,435.46","4,443.05"
9/13/2021,"4,474.81","4,492.99","4,445.70","4,468.73"
9/10/2021,"4,506.92","4,520.47","4,457.66","4,458.58"
9/9/2021,"4,513.02","4,529.90","4,492.07","4,493.28"
9/8/2021,"4,518.09","4,521.79","4,493.95","4,514.07"
9/7/2021,"4,535.38","4,535.38","4,513.00","4,520.03"
9/3/2021,"4,532.42","4,541.45","4,521.30","4,535.43"
9/2/2021,"4,534.48","4,545.85","4,524.66","4,536.95"
9/1/2021,"4,528.80","4,537.11","4,522.02","4,524.09"
8/31/2021,"4,529.75","4,531.39","4,515.80","4,522.68"
